"playerID","retroID","bbrefID","nameFirstLast","age","hist_eval_age","d_eval_age","yearID","WAR","Similarity_Score","yearSeason"
"ramirma02","ramim002","ramirma02","Manny Ramirez",21.8,23.8,0,1994,1.6,31.6410451209828,-2
"ramirma02","ramim002","ramirma02","Manny Ramirez",22.8,23.8,0,1995,2.93,31.6410451209828,-1
"ramirma02","ramim002","ramirma02","Manny Ramirez",23.8,23.8,1,1996,4.19,31.6410451209828,0
"ramirma02","ramim002","ramirma02","Manny Ramirez",24.8,23.8,0,1997,4.59,31.6410451209828,1
"ramirma02","ramim002","ramirma02","Manny Ramirez",25.8,23.8,0,1998,5.24,31.6410451209828,2
"ramirma02","ramim002","ramirma02","Manny Ramirez",26.8,23.8,0,1999,7.33,31.6410451209828,3
"ramirma02","ramim002","ramirma02","Manny Ramirez",27.8,23.8,0,2000,4.77,31.6410451209828,4
"ramirma02","ramim002","ramirma02","Manny Ramirez",28.8,23.8,0,2001,5.23,31.6410451209828,5
"ramirma02","ramim002","ramirma02","Manny Ramirez",29.8,23.8,0,2002,6.03,31.6410451209828,6
"ramirma02","ramim002","ramirma02","Manny Ramirez",30.8,23.8,0,2003,5.37,31.6410451209828,7
"allendi01","alled101","allendi01","Dick Allen",22,24,0,1964,8.8,30.9320819830439,-2
"allendi01","alled101","allendi01","Dick Allen",23,24,0,1965,6.39,30.9320819830439,-1
"allendi01","alled101","allendi01","Dick Allen",24,24,1,1966,7.52,30.9320819830439,0
"allendi01","alled101","allendi01","Dick Allen",25,24,0,1967,5.33,30.9320819830439,1
"allendi01","alled101","allendi01","Dick Allen",26,24,0,1968,3.51,30.9320819830439,2
"allendi01","alled101","allendi01","Dick Allen",27,24,0,1969,3.65,30.9320819830439,3
"allendi01","alled101","allendi01","Dick Allen",28,24,0,1970,2.3,30.9320819830439,4
"allendi01","alled101","allendi01","Dick Allen",29,24,0,1971,5.44,30.9320819830439,5
"allendi01","alled101","allendi01","Dick Allen",30,24,0,1972,8.55,30.9320819830439,6
"allendi01","alled101","allendi01","Dick Allen",31,24,0,1973,2.94,30.9320819830439,7
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",21.4,23.4,0,1953,5.29,21.3048585392227,-2
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",22.4,23.4,0,1954,6.92,21.3048585392227,-1
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",23.4,23.4,1,1955,9.54,21.3048585392227,0
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",24.4,23.4,0,1956,11.24,21.3048585392227,1
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",25.4,23.4,0,1957,11.3,21.3048585392227,2
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",26.4,23.4,0,1958,8.66,21.3048585392227,3
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",27.4,23.4,0,1959,6.61,21.3048585392227,4
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",28.4,23.4,0,1960,6.33,21.3048585392227,5
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",29.4,23.4,0,1961,10.46,21.3048585392227,6
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",30.4,23.4,0,1962,5.94,21.3048585392227,7
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",21.6,23.6,0,2004,1.11,16.9989959307382,-2
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",22.6,23.6,0,2005,6.6,16.9989959307382,-1
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",23.6,23.6,1,2006,6.64,16.9989959307382,0
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",24.6,23.6,0,2007,5.47,16.9989959307382,1
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",25.6,23.6,0,2008,5.87,16.9989959307382,2
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",26.6,23.6,0,2009,2.19,16.9989959307382,3
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",27.6,23.6,0,2010,-0.44,16.9989959307382,4
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",28.6,23.6,0,2011,0.08,16.9989959307382,5
"cansejo01","cansj001","cansejo01","Jose Canseco",21.7,23.7,0,1986,3.03,16.0624404941975,-2
"cansejo01","cansj001","cansejo01","Jose Canseco",22.7,23.7,0,1987,1.58,16.0624404941975,-1
"cansejo01","cansj001","cansejo01","Jose Canseco",23.7,23.7,1,1988,7.25,16.0624404941975,0
"cansejo01","cansj001","cansejo01","Jose Canseco",24.7,23.7,0,1989,2.24,16.0624404941975,1
"cansejo01","cansj001","cansejo01","Jose Canseco",25.7,23.7,0,1990,5.4,16.0624404941975,2
"cansejo01","cansj001","cansejo01","Jose Canseco",26.7,23.7,0,1991,5.25,16.0624404941975,3
"cansejo01","cansj001","cansejo01","Jose Canseco",27.7,23.7,0,1992,2.28,16.0624404941975,4
"cansejo01","cansj001","cansejo01","Jose Canseco",28.7,23.7,0,1993,0.14,16.0624404941975,5
"cansejo01","cansj001","cansejo01","Jose Canseco",29.7,23.7,0,1994,2.96,16.0624404941975,6
"cansejo01","cansj001","cansejo01","Jose Canseco",30.7,23.7,0,1995,2.58,16.0624404941975,7
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",22.5,23.5,0,1986,-0.19,15.2729626541902,-1
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",23.5,23.5,1,1987,5.11,15.2729626541902,0
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",24.5,23.5,0,1988,2.7,15.2729626541902,1
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",25.5,23.5,0,1989,3.56,15.2729626541902,2
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",26.5,23.5,0,1990,5.69,15.2729626541902,3
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",27.5,23.5,0,1991,1.54,15.2729626541902,4
