"Season","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"1901","37647","6.7 %","","",".285",".341",".382",".723",".098","6.7","","","","17.6","5369","467.2",".343","100"
"1902","37285","7.0 %","","",".284",".341",".383",".724",".099","6.1","","","","10.9","5074","696.6",".347","101"
"1903","36785","5.7 %","","",".263",".313",".356",".669",".093","6.2","","","","-4.4","4373","21.8",".318","100"
"1904","41055","5.9 %","","",".251",".303",".330",".634",".079","5.7","","","","-15.0","4322","130.6",".306","100"
"1905","40858","6.8 %","","",".248",".307",".323",".631",".076","5.6","","","","-3.2","4318","7.2",".308","100"
"1906","40675","6.4 %","","",".256",".312",".328",".639",".072","5.9","","","","25.5","4236","209.4",".314","100"
"1907","41133","6.4 %","","",".254",".309",".318",".627",".064","5.5","","","","11.6","4132","146.6",".310","100"
"1908","40835","6.4 %","","",".246",".303",".312",".615",".067","5.5","","","","13.3","3954","156.6",".303","100"
"1909","40400","6.7 %","","",".253",".313",".321",".634",".068","5.9","","","","24.4","4088","185.1",".314","101"
"1910","41766","7.6 %","","",".250",".316",".323",".639",".073","5.9","","","","32.2","4242","-68.6",".316","100"
"1911","42233","7.9 %","","",".281",".348",".370",".717",".089","6.4","","","","18.4","5357","331.5",".347","100"
"1912","42095","8.3 %","","",".272",".341",".359",".700",".086","6.4","","","","44.3","5118","74.8",".339","100"
"1913","41240","8.6 %","9.0 %","0.96",".265",".336",".347",".684",".083","6.2",".291","","","24.0","4681","202.3",".332","101"
"1914","42344","8.8 %","9.5 %","0.92",".257",".330",".336",".665",".079","5.9",".285","","","-296.5","4551","122.0",".325","100"
"1915","42379","9.3 %","9.0 %","1.03",".255",".333",".335",".669",".080","5.9",".282","","","-115.0","4638","281.4",".328","100"
"1916","42624","8.9 %","8.5 %","1.05",".257",".331",".335",".666",".079","5.6",".281","","","4.3","4481","384.8",".326","100"
"1917","42474","8.5 %","7.6 %","1.12",".255",".326",".330",".656",".075","5.6",".277","","","19.0","4393","289.8",".322","100"
"1918","34673","8.7 %","6.5 %","1.34",".261",".332",".332",".664",".072","5.4",".279","","","-1.8","3627","256.6",".328","100"
"1919","38761","8.1 %","7.1 %","1.15",".276",".342",".371",".713",".095","5.6",".295","","","-21.9","4550","546.0",".342","100"
"1920","43328","8.2 %","6.4 %","1.27",".292",".356",".401",".757",".109","5.4",".308","","","8.2","5659","728.4",".358","100"
"1921","44209","8.4 %","6.3 %","1.33",".300",".366",".421",".787",".121","5.4",".314","","","35.8","6109","591.9",".364","100"
"1922","43804","8.2 %","6.2 %","1.31",".293",".358",".411",".770",".118","5.4",".305","","","10.3","5816","322.7",".358","100"
"1923","43853","8.8 %","6.4 %","1.37",".290",".360",".401",".761",".111","5.1",".305","","","-1.8","5799","382.7",".358","100"
"1924","44097","8.9 %","5.8 %","1.54",".298",".368",".409",".776",".111","5.1",".312","","","12.6","6001","577.6",".364","100"
"1925","44364","9.2 %","5.9 %","1.56",".300",".370",".420",".790",".120","5.1",".311","","","-13.3","6269","461.8",".367","100"
"1926","43859","9.2 %","6.1 %","1.50",".290",".362",".406",".768",".116","5.3",".304","","","-97.3","5823","547.2",".361","100"
"1927","43950","8.8 %","6.0 %","1.45",".293",".361",".411",".772",".118","5.6",".307","","","-93.4","5943","541.7",".361","100"
"1928","43382","8.4 %","6.5 %","1.28",".289",".354",".410",".764",".122","5.5",".303","","","-87.0","5630","341.8",".354","100"
"1929","43550","8.8 %","6.2 %","1.40",".292",".359",".422",".780",".130","5.3",".303","","","-118.8","5941","174.9",".358","100"
