"Season","Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","playerid"
"2008","Johan Santana","Mets","29","16","7","2.53","34","34","3","2","0","0","234.1","964","206","74","66","23","63","5","4","9","2","206","278","245","151","34","1211","2387","3598","128","21","17","3","7.91","2.42","3.27","7.91","0.88",".230","1.15",".274","82.6 %","3.51","1.13","22.4 %","41.2 %","36.4 %","13.9 %","9.4 %","7.6 %","17.6 %","50.3","234.1","","","50.3","5.3","$32.6","3.88","3.61","3.97","-13.69","17.66","43.90","4.50","0.98","0.98","0.88","1.25","31","3.38","0.66","59.6 %","91.2","11.7 %","83.5","","","","","28.7 %","80.0","","","","","1.6 %","","10.9","-3.0","","","23.0","","","0.52","-0.72","","","2.26","","","26.5 %","69.2 %","49.8 %","59.7 %","82.6 %","77.1 %","54.5 %","63.8 %","11.4 %","0","0","0","61","82","83","21.4 %","6.5 %","3.69","4.92","-0.97","62.2 %","","","","","","5.9 %","0.1 %","","","31.8 %","","","","91.0","","","","","","83.8","80.8","","","80.1","","","6.2","","","","","","1.0","-4.8","","","6.1","","","9.1","","","","","","3.2","2.2","","","6.6","","","9.7","","","","","","-1.7","0.3","","","23.5","","","0.45","","","","","","-0.83","8.59","","","2.13","","","31.4 %","65.7 %","49.7 %","64.7 %","82.7 %","77.4 %","53.4 %","22.3","7.6","1.4","1.0","2.4","29 - 29","14.8 %","41.7 %","33.0 %","25.3 %","19.4 %","55.0 %","25.6 %","3.60","755"
"2008","Cliff Lee","Indians","29","22","3","2.54","31","31","4","2","0","0","223.1","891","214","68","63","12","34","1","5","4","0","170","307","235","127","27","1010","2279","3289","152","21","13","5","6.85","1.37","5.00","8.62","0.48",".251","1.11",".301","78.3 %","2.83","1.31","19.0 %","45.9 %","35.1 %","11.5 %","5.1 %","6.8 %","38.5 %","61.4","223.1","","","61.4","6.7","$41.6","2.96","3.52","5.82","-11.74","17.56","47.39","4.78","0.99","0.99","0.87","0.97","27","4.56","1.29","70.1 %","90.5","","","7.3 %","84.8","9.6 %","74.7","12.9 %","82.4","","","","","1.2 %","","33.6","","3.8","2.3","2.9","","","1.48","","1.59","0.73","0.69","","","29.9 %","64.9 %","49.4 %","70.6 %","88.3 %","83.6 %","56.0 %","66.6 %","8.1 %","0","0","0","59","67","82","19.1 %","3.8 %","3.60","6.13","-0.29","76.4 %","","","","","","1.5 %","9.8 %","","","12.3 %","","","","90.2","","","","","","83.5","75.0","","","82.2","","","6.1","","","","","","-2.1","-5.8","","","8.0","","","9.5","","","","","","2.7","-7.8","","","6.9","","","35.7","","","","","","0.2","2.0","","","4.2","","","1.44","","","","","","0.36","0.64","","","1.05","","","32.9 %","61.7 %","49.6 %","72.6 %","88.6 %","84.1 %","57.8 %","21.6","8.3","-0.1","1.7","1.6","29 - 29","15.3 %","36.8 %","33.3 %","29.9 %","17.5 %","56.9 %","25.7 %","3.55","1636"
"2008","Tim Lincecum","Giants","24","18","5","2.62","34","33","2","1","0","0","227.0","928","182","72","66","11","84","1","6","17","2","265","245","196","117","16","1347","2335","3682","124","13","15","1","10.51","3.33","3.15","7.22","0.44",".217","1.17",".304","77.9 %","2.62","1.25","21.0 %","43.9 %","35.1 %","8.2 %","5.6 %","5.3 %","6.7 %","65.2","223.0","0.1","4.0","65.3","7.1","$44.3","2.95","3.12","5.12","-13.55","18.67","49.14","4.99","1.04","1.04","0.88","1.48","32","3.89","1.02","66.1 %","94.1","1.7 %","84.5","","","13.7 %","79.6","18.6 %","83.7","","","","","1.7 %","0.1 %","26.0","4.0","","5.6","7.5","","","1.09","6.50","","1.13","1.12","","","26.5 %","65.3 %","45.9 %","49.6 %","84.1 %","74.1 %","50.0 %","57.5 %","11.9 %","0","1","0","61","62","72","28.6 %","9.1 %","3.17","4.92","0.00","65.5 %","","","","","","9.4 %","9.8 %","","","15.3 %","","","","94.0","","","","","","83.7","78.4","","","83.3","","","-2.6","","","","","","1.7","6.1","","","-2.7","","","10.8","","","","","","2.2","-5.9","","","3.3","","","23.9","","","","","","9.4","3.3","","","9.2","","","1.06","","","","","","2.92","0.98","","","1.75","","","30.4 %","62.0 %","46.1 %","55.0 %","84.2 %","74.5 %","49.6 %","19.5","7.5","-0.4","0.8","0.4","24 - 24","19.5 %","33.0 %","33.9 %","33.2 %","16.1 %","58.1 %","25.8 %","3.04","5705"
"2008","Roy Halladay","Blue Jays","31","20","11","2.78","34","33","9","2","0","0","246.0","987","220","88","76","18","39","3","12","4","0","206","384","192","139","18","1190","2370","3560","129","16","15","3","7.54","1.43","5.28","8.05","0.66",".235","1.05",".284","74.5 %","3.03","2.00","19.4 %","53.7 %","26.9 %","9.4 %","9.4 %","4.2 %","20.0 %","61.5","243.2","1.8","2.1","63.3","6.8","$42.4","3.32","3.11","4.29","-14.93","19.22","40.28","3.98","1.03","1.03","0.92","1.08","25","5.00","-0.83","40.7 %","92.7","","","33.2 %","90.3","22.8 %","77.7","3.4 %","84.8","","","","","2.0 %","0.1 %","8.4","","16.3","21.1","-3.5","","","0.60","","1.41","2.66","-2.99","","","30.9 %","67.1 %","49.6 %","58.3 %","91.3 %","81.4 %","51.8 %","63.4 %","9.2 %","1","1","0","64","70","72","20.9 %","4.0 %","3.12","4.72","-0.25","46.2 %","0.4 %","15.6 %","0.7 %","","10.8 %","","22.6 %","","","3.8 %","","","","92.6","91.5","90.2","85.7","","89.8","","77.7","","","85.8","","","-7.1","-14.0","-0.2","-5.8","","-1.6","","7.3","","","-5.8","","","4.1","1.1","5.4","2.9","","2.0","","-1.8","","","4.4","","","8.7","2.6","7.8","1.0","","6.1","","19.8","","","-4.1","","","0.56","17.13","1.47","4.76","","1.67","","2.58","","","-3.16","","","35.4 %","64.8 %","49.8 %","66.5 %","90.5 %","81.8 %","49.1 %","21.8","7.7","1.0","-0.1","0.9","31 - 31","16.9 %","41.6 %","33.6 %","24.8 %","19.3 %","59.5 %","21.2 %","3.35","1303"
"2008","Jake Peavy","Padres","27","10","11","2.85","27","27","1","0","0","0","173.2","709","146","57","55","17","59","1","5","6","0","166","189","175","102","30","1046","1814","2860","70","9","13","3","8.60","3.06","2.81","7.57","0.88",".226","1.18",".279","82.2 %","3.60","1.08","21.9 %","40.6 %","37.6 %","17.1 %","9.7 %","4.8 %","23.1 %","35.1","173.2","","","35.1","3.6","$22.5","3.62","3.65","1.95","-11.79","13.73","25.19","2.83","1.06","1.06","0.87","0.99","26","1.90","-0.07","57.4 %","92.1","19.2 %","81.3","15.8 %","85.6","1.5 %","74.2","6.1 %","84.1","","","","","1.3 %","","17.2","5.7","2.2","1.5","-1.9","","","1.06","1.04","0.50","3.57","-1.13","","","30.3 %","59.6 %","44.2 %","59.0 %","85.9 %","76.2 %","47.3 %","60.2 %","10.5 %","0","0","0","72","86","84","23.4 %","8.3 %","3.68","3.63","-0.75","58.1 %","","1.2 %","","","","26.7 %","7.5 %","","","6.4 %","","","0.1 %","92.6","","87.5","","","","84.4","78.4","","","84.6","","","-7.5","","0.3","","","","3.7","7.5","","","-6.9","","","9.4","","7.2","","","","3.2","-2.4","","","3.9","","","16.9","","0.1","","","","6.7","6.8","","","-3.7","","","1.03","","0.23","","","","0.88","3.20","","","-2.05","","","28.9 %","60.1 %","44.0 %","62.8 %","83.8 %","76.7 %","48.4 %","19.3","4.9","0.8","0.5","1.3","27 - 27","15.1 %","35.1 %","35.1 %","29.9 %","21.7 %","57.2 %","21.1 %","3.57","1051"
"2008","Daisuke Matsuzaka","Red Sox","27","18","3","2.90","29","29","0","0","0","0","167.2","716","128","58","54","12","94","1","7","5","0","154","175","196","82","27","1142","1762","2904","116","6","8","6","8.27","5.05","1.64","6.87","0.64",".208","1.32",".258","80.6 %","4.03","0.89","18.1 %","38.6 %","43.3 %","13.8 %","6.1 %","3.4 %","75.0 %","25.8","167.2","","","25.8","2.6","$16.2","4.12","4.64","3.13","-10.29","13.42","32.20","3.14","1.00","1.00","0.87","1.02","29","2.18","0.95","52.2 %","91.8","23.1 %","81.7","15.0 %","88.6","4.1 %","78.5","3.8 %","82.2","1.8 %","82.9","","","0.7 %","","2.7","14.7","3.2","-1.2","0.0","-0.9","","0.18","2.20","0.75","-0.99","-0.04","-1.81","","20.4 %","66.4 %","43.6 %","54.5 %","84.0 %","77.1 %","50.5 %","59.8 %","10.0 %","0","0","0","64","96","107","21.5 %","13.1 %","4.57","6.23","-1.13","53.9 %","","9.5 %","0.3 %","","","23.1 %","7.8 %","","","5.3 %","","","","91.9","","88.9","81.1","","","83.1","79.2","","","82.9","","","-6.6","","-0.2","-13.1","","","4.7","7.3","","","-9.7","","","9.4","","6.0","1.9","","","2.1","-2.2","","","4.3","","","5.2","","1.8","-0.5","","","11.3","0.6","","","-1.3","","","0.35","","0.68","-6.71","","","1.77","0.29","","","-0.91","","","23.3 %","62.5 %","43.5 %","62.2 %","83.9 %","78.3 %","51.5 %","25.0","5.6","1.5","1.5","3.0","27 - 27","8.4 %","38.4 %","33.4 %","28.2 %","18.9 %","54.5 %","26.7 %","4.38","7775"
"2008","Ryan Dempster","Cubs","31","17","6","2.96","33","33","1","0","0","0","206.2","856","174","75","68","14","76","1","7","5","0","187","277","183","116","12","1232","2109","3341","134","15","10","3","8.14","3.31","2.46","7.58","0.61",".225","1.21",".280","76.7 %","3.41","1.51","20.1 %","48.1 %","31.8 %","6.6 %","7.7 %","5.4 %","30.0 %","45.0","206.2","","","45.0","4.7","$29.1","3.94","3.69","3.70","-12.06","15.76","36.06","3.48","0.97","0.97","0.87","0.98","32","3.64","0.16","55.9 %","91.1","27.5 %","84.6","","","","","","","16.7 %","82.3","","","1.2 %","0.0 %","11.2","16.3","","","","1.8","","0.61","1.80","","","","0.34","","28.0 %","64.5 %","45.8 %","49.8 %","85.9 %","74.6 %","48.7 %","57.8 %","11.6 %","0","0","0","66","78","85","21.9 %","8.9 %","3.80","5.84","-0.45","55.7 %","0.2 %","","","","","27.0 %","0.2 %","","","17.0 %","","","","91.3","89.7","","","","","84.8","83.1","","","82.6","","","-7.1","-11.0","","","","","0.6","-0.6","","","-6.9","","","8.8","7.6","","","","","0.9","-4.5","","","4.0","","","10.8","0.7","","","","","16.9","0.2","","","0.0","","","0.60","14.59","","","","","1.93","4.86","","","-0.01","","","29.5 %","62.7 %","45.8 %","52.8 %","86.1 %","75.1 %","49.0 %","20.0","6.2","0.8","0.7","1.5","31 - 31","13.0 %","39.1 %","35.5 %","25.4 %","17.2 %","54.4 %","28.3 %","3.83","517"
"2008","Ben Sheets","Brewers","29","13","9","3.09","31","31","5","3","0","0","198.1","812","181","74","68","17","47","2","1","8","0","158","240","243","108","21","1052","2002","3054","98","13","15","4","7.17","2.13","3.36","8.21","0.77",".237","1.15",".278","75.5 %","3.38","0.99","18.3 %","40.6 %","41.1 %","8.6 %","7.0 %","5.4 %","26.7 %","44.9","198.1","","","44.9","4.7","$29.2","3.40","3.88","2.44","-12.30","14.74","25.16","2.51","0.98","0.98","0.88","0.79","26","1.92","0.58","61.8 %","92.6","","","","","33.0 %","80.0","5.2 %","86.1","","","","","2.3 %","0.0 %","18.7","","","-2.0","-1.2","","","1.02","","","-0.21","-0.77","","","25.3 %","65.8 %","47.1 %","57.5 %","89.3 %","81.5 %","53.9 %","61.3 %","8.7 %","0","0","0","73","78","90","19.5 %","5.8 %","3.88","4.45","-0.29","62.7 %","","","","","0.9 %","","28.6 %","","","7.8 %","","","","92.8","","","","","88.0","","80.1","","","83.9","","","-4.3","","","","","-1.1","","4.7","","","-0.8","","","10.3","","","","","2.3","","-3.9","","","2.2","","","19.3","","","","","0.3","","-0.5","","","-0.7","","","1.05","","","","","1.03","","-0.06","","","-0.31","","","31.2 %","61.2 %","47.0 %","63.9 %","90.1 %","81.9 %","52.8 %","17.5","5.1","0.9","-0.5","0.4","29 - 29","13.7 %","37.0 %","33.3 %","29.7 %","16.0 %","54.0 %","30.0 %","3.74","710"
"2008","Cole Hamels","Phillies","24","14","10","3.09","33","33","2","2","0","0","227.1","914","193","89","78","28","53","7","1","0","0","196","256","251","141","33","1135","2292","3427","116","16","15","4","7.76","2.10","3.70","7.64","1.11",".224","1.08",".259","76.0 %","3.72","1.02","21.8 %","39.5 %","38.7 %","13.1 %","11.2 %","6.3 %","26.7 %","46.0","227.1","","","46.0","4.8","$29.7","4.17","3.58","2.59","-14.17","16.76","29.33","2.90","0.96","0.96","0.88","1.16","31","2.94","-0.23","54.8 %","90.4","","","","","13.7 %","75.6","31.5 %","79.9","","","","","1.3 %","","12.1","","","-1.2","23.4","","","0.65","","","-0.26","2.19","","","30.6 %","67.7 %","50.2 %","60.8 %","83.4 %","76.9 %","52.8 %","61.6 %","11.5 %","0","0","0","71","85","83","21.4 %","5.8 %","3.63","4.59","-0.63","52.3 %","","","","","","","13.3 %","","","34.4 %","","","","89.9","","","","","","","74.7","","","79.4","","","1.9","","","","","","","-1.7","","","6.2","","","12.0","","","","","","","-4.0","","","7.9","","","11.7","","","","","","","-2.0","","","24.1","","","0.67","","","","","","","-0.46","","","2.10","","","34.5 %","64.4 %","50.0 %","63.8 %","84.2 %","77.4 %","51.9 %","19.0","5.7","2.0","-1.1","0.9","24 - 24","15.7 %","40.9 %","34.1 %","25.0 %","22.5 %","48.1 %","29.4 %","3.50","4972"
"2008","Chad Billingsley","Dodgers","23","16","10","3.14","35","32","1","1","0","0","200.2","859","188","76","70","14","80","6","8","10","0","201","273","173","111","12","1235","2089","3324","108","15","13","1","9.01","3.59","2.51","8.43","0.63",".244","1.34",".313","78.0 %","3.35","1.58","19.9 %","49.0 %","31.1 %","6.9 %","8.1 %","5.5 %","7.7 %","41.2","196.1","1.2","4.1","42.4","4.4","$27.3","3.58","3.58","2.08","-12.93","15.01","22.10","2.26","0.99","0.99","0.89","1.19","33","1.66","0.44","58.9 %","91.5","2.3 %","85.2","18.6 %","87.6","17.5 %","77.8","2.8 %","84.0","","","","","1.3 %","0.3 %","-3.5","-0.4","10.3","6.1","-1.0","","","-0.18","-0.60","1.69","1.06","-1.07","","","25.9 %","60.7 %","43.4 %","50.9 %","86.1 %","75.7 %","50.4 %","59.5 %","10.5 %","1","1","1","75","78","83","23.4 %","9.3 %","3.66","4.84","-0.21","58.6 %","","7.3 %","","","","14.6 %","17.4 %","","","2.1 %","","","","91.7","","89.3","","","","87.0","78.3","","","83.9","","","-4.3","","0.9","","","","2.1","6.4","","","-8.2","","","8.1","","6.5","","","","2.9","-6.1","","","5.4","","","1.2","","-2.3","","","","12.3","5.2","","","-2.6","","","0.06","","-0.95","","","","2.59","0.92","","","-3.78","","","28.1 %","59.1 %","43.4 %","55.3 %","86.4 %","76.2 %","49.3 %","21.6","4.9","-0.8","1.3","0.5","23 - 23","14.1 %","41.8 %","32.5 %","25.8 %","16.3 %","59.1 %","24.6 %","3.69","5842"
