"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2014","Angels","95","100","96","91","93","102","97","100","99","97","97","97"
"2014","Orioles","102","101","99","86","108","99","100","100","101","101","99","103"
"2014","Red Sox","105","103","114","105","96","100","100","101","97","105","102","99"
"2014","White Sox","101","99","97","91","108","103","107","98","102","99","104","103"
"2014","Indians","102","100","103","81","101","101","99","101","97","101","95","101"
"2014","Tigers","101","101","98","126","98","95","99","101","103","98","102","101"
"2014","Royals","103","101","103","114","93","96","99","102","101","101","96","99"
"2014","Twins","102","102","101","106","98","98","99","101","99","103","101","101"
"2014","Yankees","101","100","97","84","110","101","101","99","102","99","102","104"
"2014","Athletics","96","99","100","105","93","97","101","99","102","100","108","98"
"2014","Mariners","96","98","97","85","98","102","97","97","102","98","106","98"
"2014","Rays","97","99","95","98","96","102","100","98","101","98","108","97"
"2014","Rangers","104","103","101","110","105","98","102","101","101","103","96","101"
"2014","Blue Jays","102","97","108","105","106","102","99","99","101","101","99","101"
"2014","Diamondbacks","105","99","105","120","102","100","99","100","99","99","96","101"
"2014","Braves","99","100","99","93","96","103","101","99","100","101","97","97"
"2014","Cubs","99","99","99","102","102","101","102","100","100","99","99","100"
"2014","Reds","101","99","98","92","113","103","101","99","100","99","101","103"
"2014","Rockies","118","110","108","128","113","95","102","106","99","109","94","108"
"2014","Marlins","98","101","100","117","88","98","101","100","100","100","97","97"
"2014","Astros","98","99","100","108","105","103","101","100","99","98","100","99"
"2014","Dodgers","95","98","98","78","102","100","96","99","100","97","106","98"
"2014","Brewers","103","99","100","102","112","101","102","99","101","102","96","104"
"2014","Nationals","100","104","102","84","97","97","98","100","101","101","99","99"
"2014","Mets","95","96","95","87","101","101","100","97","101","98","108","100"
"2014","Phillies","99","98","99","92","107","103","102","99","101","97","104","102"
"2014","Pirates","96","101","99","89","90","96","96","102","98","101","97","97"
"2014","Cardinals","98","100","99","95","94","98","99","100","101","100","101","99"
"2014","Padres","96","98","95","97","98","102","101","100","98","99","95","99"
"2014","Giants","95","99","97","115","84","100","100","101","95","98","96","95"
